"ID";"Date MAJ";"Nom";"Statut";"EPN";"Nature";"Contact mail";"Adresse";"Code postal";"Commune";"Téléphone";"Site internet";"Accès équipement";"Type équipement";"Conditions accès équipement";"Coût accès équipement";"Médiation numérique";"Type médiation numérique";"Conditions accès médiation numérique";"Accompagnement médiation numérique";"Coût accès médiation numérique";"Fréquence médiation numérique";"Démarches";"Démarches spécifiques";"Type démarches";"Conditions accès démarches";"Accompagnement démarches";"Coût accès démarches";"Fréquence démarches";"Stockage";"Coût stockage";"Vente matériel";"Typé vente matériel";"Détail publics";"Détail territoire";"PMR";"Accès transports en commun";"APTIC";"Latitude";"Longitude";"Département";"Arrondissement";"EPCI"
0001;2018;Accompagnement numérique - CCAS d'Amiens;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;10 rue Gresset;80000;Amiens;-----;-----;Oui;"Coffre-fort numérique : Outil individuel qui permet d’archiver et de sécuriser des fichiers numériques tels que des documents personnels et administratifs, des contrats, des factures, des relevés etc. : pour conserver et accéder rapidement et simplement à ses fichiers seulement avec une connexion Internet.";-----;Gratuit;Non;-----;-----;-----;-----;-----;Non;-----;-----;-----;-----;-----;-----;Oui;Gratuit;Non;-----;Usagers et travailleurs sociaux;-----;-----;-----;-----;"49,912065";"2,24187";Somme;Amiens;CA Amiens Métropole
0005;2018;CAF Somme;Privé;Non;"Services publiques (CAF, CPAM, CARSAT, MSA, Finances publiques...)";Caf.fr / mon compte;9 Boulevard Maignan Larivière;80000;Amiens;-----;https://www.caf.fr/;Oui;Ordinateurs disponibles dans les locaux de la CAF pour les démarches en ligne;-----;Gratuit;Oui;La CAF Somme propose aux familles allocataires avec un quotient familial inférieur à 800 de bénéficier d'un prêt à taux 0 pour acheter du matériel informatique.;-----;-----;-----;-----;Oui;-----;Accompagnement aux démarches en ligne CAF;Accès libre;Individuel;Gratuit;-----;Non;-----;Oui;matériel informatique;Familles allocataires avec quotient familial (QF) inférieur à 800;-----;Oui;-----;-----;"49,889914";"2,293438";Somme;Amiens;CA Amiens Métropole
0010;22/02/2021;Point d'accueil numérique - Sous-Préfecture de Béthune;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;181 rue Gambetta;62400;Béthune;-----;http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures;Oui;Accès libre à un ordinateur avec accès aux sites internet dédiés aux téléprocédures;Accès libre;Gratuit;Non;-----;-----;-----;-----;-----;Oui;-----;-----;Tout public;Individuel;-----;-----;Non;-----;Non;-----;Tout public;-----;Oui;-----;-----;"50,532898";"2,637291";Pas-de-Calais;Béthune;"CA de Béthune-Bruay, Artois-Lys Romane"
0011;2018;Point d'accueil numérique - Sous-Préfecture de Boulogne-sur-Mer;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;131 Grand Rue;62321;Boulogne-sur-Mer;-----;http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures;Oui;Accès libre à un ordinateur avec accès aux sites internet dédiés aux téléprocédures;Accès libre;Gratuit;Non;-----;-----;-----;-----;-----;Oui;-----;-----;Tout public;Individuel;-----;-----;Non;-----;Non;-----;Tout public;-----;Oui;-----;-----;"50,725064";"1,610424";Pas-de-Calais;Boulogne-sur-Mer;CA du Boulonnais
0012;2018;Point d'accueil numérique - Sous-Préfecture de Calais;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;9 Esplanade Jacques Vendroux;62107;Calais;-----;http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures;Oui;Accès libre à un ordinateur avec accès aux sites internet dédiés aux téléprocédures;Accès libre;Gratuit;Non;-----;-----;-----;-----;-----;Oui;-----;-----;Tout public;Individuel;-----;-----;Non;-----;Non;-----;Tout public;-----;Oui;-----;-----;"50,957195";"1,845311";Pas-de-Calais;Calais;CA Grand Calais Terres et Mers
0013;2018;Point d'accueil numérique - Sous-Préfecture de Lens;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;25 rue du 11 novembre;62307;Lens;-----;http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures;Oui;Accès libre à un ordinateur avec accès aux sites internet dédiés aux téléprocédures;Accès libre;Gratuit;Non;-----;-----;-----;-----;-----;Oui;-----;-----;Tout public;Individuel;-----;-----;Non;-----;Non;-----;Tout public;-----;Oui;-----;-----;"50,43086";"2,823339";Pas-de-Calais;Lens;CA de Lens - Liévin
0014;2018;Point d'accueil numérique - Sous-Préfecture de Montreuil-sur-Mer;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;7-9-11 rue d'Hérambault;62170;Montreuil-sur-Mer;-----;http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures;Oui;Accès libre à un ordinateur avec accès aux sites internet dédiés aux téléprocédures;Accès libre;Gratuit;Non;-----;-----;-----;-----;-----;Oui;-----;-----;Tout public;Individuel;-----;-----;Non;-----;Non;-----;Tout public;-----;Oui;-----;-----;"50,4637";"1,761754";Pas-de-Calais;Montreuil;CA des Deux Baies en Montreuillois
0015;2018;Point d'accueil numérique - Sous-Préfecture de Saint-Omer;Public;Non;"Collectivité territoriale, Ville, CCAS";-----;41 rue Saint Bertin;62504;Saint-Omer;-----;http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures;Oui;Accès libre à un ordinateur avec accès aux sites internet dédiés aux téléprocédures;Sur rendez-vous;Gratuit;Non;-----;-----;-----;-----;-----;Oui;-----;-----;Tout public;Individuel;-----;-----;Non;-----;Non;-----;Tout public;-----;Oui;-----;-----;"50,748854";"2,257797";Pas-de-Calais;Saint-Omer;CA du Pays de Saint-Omer
0018;2018;Fablab de la Gare numérique;Public;Non;"Tiers-lieu & coworking, FabLab";-----;Place de la Gare;59460;Jeumont;03 27 60 16 39;http://www.mairie-jeumont.fr/site/2015/10/28/fablab/;Oui;"La Fabrique créative (FABLAB) fait bénéficier ses nombreux équipements au public : découpeuse laser, imprimante 3D, fraiseuse et tour à commande numérique, arduino (microcontrôleur), Rasperi pi (nano-ordinateur), Robot Nao, drones etc.";Accès libre;Payant (Le coût est d'environ 5 euros par heure sur machine.);Oui;Des ateliers et des formations sont proposés aux débutants pour découvrir l'outil informatique;Sur inscription;individuel;Gratuit;-----;Non;-----;-----;-----;-----;-----;-----;Non;-----;Non;-----;Tout public;-----;Oui;-----;-----;"50,297308";"4,086959";Nord;Avesnes-sur-Helpe;CA Maubeuge Val de Sambre
0020;2018;Association Médico Sociale Anne Morgan (ANSAM);Privé;Non;Association;contact@amsam.net;31 rue Anne Morgan;02200;Soissons;03 23 75 51 00;http://amsam.net/;Non;-----;-----;-----;Non;-----;-----;-----;-----;-----;Oui;-----;"L'association accompagne des personnes âgées, malades,  en situation de handicap et de précarité. Un ensemble de services est proposé pour le maintien à domicile dans le respect de l'autonomie dont l'accompagnement aux démarches administratives.";Sur rendez-vous;Individuel;Gratuit;-----;Non;-----;Non;-----;Personnes âgées et/ou handicapées;-----;Oui;-----;-----;"49,372772";"3,320975";Aisne;Soissons;CA GrandSoissons Agglomération
